Year_;Month_;Global_;Northern;Southern
1882;3;-0.17708035;-0.24070887;-0.11345181
1882;4;-0.31474164;-0.43130198;-0.19818129
1882;5;-0.32572997;-0.41357186;-0.23788807
1882;6;-0.39225483;-0.4466336;-0.33787605
1882;7;-0.34102684;-0.4169995;-0.2650542
1882;8;-0.24510053;-0.24126402;-0.24893703
1882;9;-0.15044588;-0.19487807;-0.106013685
1882;10;-0.3990836;-0.57260954;-0.22555768
1882;11;-0.40350994;-0.57372403;-0.23329581
1882;12;-0.65474;-0.8788266;-0.4306533
1883;1;-0.47277278;-0.76873684;-0.17680871
1883;2;-0.4854322;-0.8019244;-0.16894002
1883;3;-0.26636964;-0.39769834;-0.13504094
1883;4;-0.43903488;-0.43098447;-0.4470853
1883;5;-0.3400283;-0.3783583;-0.3016983
1883;6;-0.1901544;-0.24178736;-0.13852145
1883;7;-0.21858145;-0.22675799;-0.21040492
1883;8;-0.28788334;-0.2725121;-0.30325457
1883;9;-0.3062682;-0.2995006;-0.31303573
1883;10;-0.3400996;-0.3300371;-0.3501621
1883;11;-0.39625064;-0.62024057;-0.17226073
1883;12;-0.41481745;-0.35622334;-0.47341153
1884;1;-0.44355372;-0.53523445;-0.35187295
1884;2;-0.33285657;-0.46826693;-0.1974462
1884;3;-0.50546813;-0.83276546;-0.17817077
1884;4;-0.5089616;-0.74097013;-0.2769531
1884;5;-0.56562126;-0.65030473;-0.48093775
1884;6;-0.5137893;-0.56313145;-0.4644471
1884;7;-0.5658637;-0.5990647;-0.53266275
1884;8;-0.429122;-0.5925146;-0.2657294
1884;9;-0.5043303;-0.68428826;-0.3243723
1884;10;-0.463346;-0.5556734;-0.3710186
1884;11;-0.5852065;-0.84363556;-0.32677743
1884;12;-0.4897219;-0.5476879;-0.43175587
1885;1;-0.65614164;-0.9463799;-0.36590335
1885;2;-0.5527572;-0.67960036;-0.42591402
1885;3;-0.42101642;-0.45487493;-0.3871579
1885;4;-0.63497037;-0.7008803;-0.5690605
1885;5;-0.60631216;-0.6065654;-0.60605884
1885;6;-0.63664883;-0.62671715;-0.6465806
1885;7;-0.42047033;-0.36780736;-0.4731333
1885;8;-0.4050678;-0.27369186;-0.5364437
1885;9;-0.35673314;-0.3599102;-0.3535561
1885;10;-0.36150765;-0.3553784;-0.36763695
1885;11;-0.38425598;-0.58056265;-0.18794933
1885;12;-0.21760142;-0.16327094;-0.2719319
1886;1;-0.479745;-0.58033466;-0.3791553
1886;2;-0.47879001;-0.6716032;-0.28597683
1886;3;-0.48723003;-0.6646761;-0.309784
1886;4;-0.3615867;-0.38864297;-0.33453038
1886;5;-0.29257125;-0.33990476;-0.24523778
1886;6;-0.5019767;-0.46800348;-0.53595
1886;7;-0.3021988;-0.14984429;-0.4545533
1886;8;-0.45738658;-0.38903704;-0.52573615
1886;9;-0.39079213;-0.38623548;-0.39534882
1886;10;-0.41297862;-0.40174565;-0.42421162
1886;11;-0.49078947;-0.6165673;-0.36501163
1886;12;-0.39479798;-0.289001;-0.500595
1887;1;-0.74377;-1.0206991;-0.46684083
1887;2;-0.65888214;-0.7700193;-0.5477449
1887;3;-0.44538546;-0.42662627;-0.46414465
1887;4;-0.48280382;-0.4843649;-0.48124278
1887;5;-0.52945954;-0.43881145;-0.6201076
1887;6;-0.52584267;-0.44302702;-0.6086583
1887;7;-0.38890877;-0.3336439;-0.4441736
1887;8;-0.44554248;-0.5067539;-0.38433105
1887;9;-0.3885525;-0.29170734;-0.48539767
1887;10;-0.4446146;-0.4127828;-0.47644636
1887;11;-0.43516165;-0.38166678;-0.48865652
1887;12;-0.49650568;-0.42052606;-0.57248527
1888;1;-0.6184704;-0.67021257;-0.56672823
1888;2;-0.58728784;-0.7543386;-0.42023706
1888;3;-0.59725916;-0.69841117;-0.4961071
1888;4;-0.35193178;-0.29895195;-0.4049116
1888;5;-0.41130793;-0.37598366;-0.44663218
1888;6;-0.3217171;-0.1772829;-0.46615136
1888;7;-0.3386262;-0.19763234;-0.47962004
1888;8;-0.31051376;-0.23265608;-0.38837144
1888;9;-0.32469457;-0.28478956;-0.3645996
1888;10;-0.16644995;-0.10483774;-0.22806217
1888;11;-0.26496226;-0.29309836;-0.23682614
1888;12;-0.2593257;-0.38119578;-0.13745561
1889;1;-0.2966627;-0.5118319;-0.08149353
1889;2;-0.006579389;0.032236442;-0.04539522
1889;3;-0.08734918;-0.17097223;-0.0037261231
1889;4;-0.08679018;-0.020698765;-0.15288159
1889;5;-0.15811297;-0.15947138;-0.15675457
1889;6;-0.21282648;-0.08844199;-0.33721095
1889;7;-0.28090227;-0.19368899;-0.36811557
1889;8;-0.30713442;-0.21421286;-0.400056
1889;9;-0.34166074;-0.23696162;-0.44635987
1889;10;-0.37001047;-0.36300173;-0.37701923
1889;11;-0.5064449;-0.7371378;-0.27575198
1889;12;-0.34427297;-0.46140847;-0.22713748
1890;1;-0.53390056;-0.6775718;-0.39022928
1890;2;-0.46501267;-0.52942544;-0.4005999
1890;3;-0.6111193;-0.73067766;-0.49156085
1890;4;-0.49407724;-0.4835734;-0.5045811
1890;5;-0.53646934;-0.5253794;-0.54755926
1890;6;-0.49480304;-0.4635699;-0.52603614
1890;7;-0.48914096;-0.43486744;-0.5434145
1890;8;-0.46699485;-0.42188853;-0.5121012
1890;9;-0.482208;-0.44064483;-0.52377117
1890;10;-0.4391856;-0.2999997;-0.57837147
1890;11;-0.67008716;-0.81057936;-0.52959496
1890;12;-0.3992993;-0.46588892;-0.3327097
1891;1;-0.580199;-0.68190765;-0.4784904
1891;2;-0.59757084;-0.82627755;-0.36886415
1891;3;-0.36251077;-0.4436354;-0.28138617
1891;4;-0.4480748;-0.5457132;-0.35043636
1891;5;-0.34619382;-0.3883434;-0.30404425
1891;6;-0.375095;-0.26694426;-0.48324576
1891;7;-0.39966992;-0.27686894;-0.52247083
1891;8;-0.3548557;-0.20353217;-0.5061792
1891;9;-0.25669602;-0.12957332;-0.38381872
1891;10;-0.3429681;-0.36638105;-0.31955516
1891;11;-0.5339126;-0.6980582;-0.36976707
1891;12;-0.21803272;-0.115588814;-0.32047662
1892;1;-0.4647994;-0.5905934;-0.3390054
1892;2;-0.2896702;-0.38296103;-0.19637933
1892;3;-0.532998;-0.78547055;-0.28052545
1892;4;-0.5456076;-0.64243114;-0.4487841
1892;5;-0.4568904;-0.5029033;-0.41087753
1892;6;-0.43644238;-0.31022456;-0.5626602
1892;7;-0.5867592;-0.5307117;-0.6428067
1892;8;-0.508325;-0.49370152;-0.5229484
1892;9;-0.3824375;-0.3515445;-0.4133305
1892;10;-0.43382177;-0.3678628;-0.4997807
1892;11;-0.66069424;-0.9401143;-0.3812741
1892;12;-0.7922568;-1.014204;-0.57030946
1893;1;-1.0448953;-1.5562713;-0.5335193
1893;2;-0.84499276;-1.2315031;-0.4584824
1893;3;-0.42680097;-0.5531515;-0.30045038
1893;4;-0.5148424;-0.46585888;-0.5638259
1893;5;-0.5721378;-0.622161;-0.5221146
1893;6;-0.44231105;-0.2871985;-0.59742355
1893;7;-0.24375539;-0.119063616;-0.36844715
1893;8;-0.2869543;-0.23537222;-0.3385364
1893;9;-0.36513734;-0.32216027;-0.4081144
1893;10;-0.30426577;-0.24784167;-0.36068988
1893;11;-0.404811;-0.42540827;-0.38421375
1893;12;-0.4845268;-0.6146928;-0.35436082
1894;1;-0.6276136;-0.8492126;-0.40601468
1894;2;-0.42949706;-0.43753546;-0.42145866
1894;3;-0.51159126;-0.48150444;-0.54167813
1894;4;-0.53747475;-0.46545583;-0.6094937
1894;5;-0.5191684;-0.36581805;-0.6725187
1894;6;-0.583648;-0.52227247;-0.6450236
1894;7;-0.39212567;-0.20223442;-0.5820169
1894;8;-0.35357937;-0.22620651;-0.48095223
1894;9;-0.4396966;-0.30119658;-0.57819664
1894;10;-0.3990114;-0.3066777;-0.49134508
1894;11;-0.460066;-0.5488709;-0.37126103
